year,ic,date,money,companyId,company,addrStreet,addrCity,addrZip
2017,71443339,2017-10-04,50000.0,45149208,"NEUMANN, spol. s r.o.",,,
2017,71443339,2017-05-17,100000.0,47682621,NOLEX  spol. s r.o.,,,
2017,71443339,2017-08-24,100000.0,29215170,NORUNEX s.r.o.,,,
2017,71443339,,150000.0,41636546,"Nová Karna, spol. s r.o.",,,
2017,71443339,,250000.0,26869004,Oceňovací a znalecká kancelář s.r.o.,,,
2017,71443339,,200000.0,25561804,OK GROUP a.s.,,,
2017,71443339,,13000.0,61250198,"Olmer ad, s.r.o.",,,
2017,71443339,,100000.0,27175588,Palatinum s.r.o.,,,
2017,71443339,2017-09-07,500000.0,26118963,"PASSERINVEST GROUP, a.s.",,,
2017,71443339,,200000.0,25446177,Pekařství a cukrářství Jiří Bláha s.r.o.,,,
2017,71443339,2017-06-28,50000.0,4347323,"PH Partner, s.r.o.",,,
2017,71443339,,100000.0,27310728,PHARMACARE GROUP s.r.o.,,,
2017,71443339,2017-08-18,50000.0,25591983,"PHARMIX, s.r.o.",,,
2017,71443339,,0.0,25035207,"PIVOVAR SVIJANY, a.s.",,,
2017,71443339,,6000.0,27856348,Pro femina - ambulance s.r.o.,,,
2017,71443339,,39400.0,27856348,Pro femina - ambulance s.r.o.,,,
2017,71443339,,30000.0,560073,"ProMedica, spol. s r.o.",,,
2017,71443339,,60000.0,25279696,PROTRANS HB s.r.o.,,,
2017,71443339,,0.0,49702360,PŘELOM spol. s r.o.,,,
2017,71443339,2017-09-06,20000.0,6241905,RAKOBYT s.r.o.,,,
2017,71443339,,0.0,25349791,RAUTA SUORI s.r.o.,,,
2017,71443339,,7000.0,28507959,Reality MACEŠKA s. r. o.,,,
2017,71443339,,75000.0,25146351,"RESPECT, a.s.",,,
2017,71443339,2017-04-28,100000.0,18055176,"RIOS , spol. s r.o.",,,
2017,71443339,,37000.0,3410765,ROZKONT s.r.o.,,,
2017,71443339,,0.0,43465196,Římskokatolická farnost - děkanství Dvůr Králové nad Labem,,,
2017,71443339,,30000.0,49241044,SANATORIUM TROCNOV a.s.,,,
2017,71443339,,45000.0,4491904,"Shopping-CR, s.r.o.",,,
2017,71443339,,80000.0,5758734,Silnice Topolany a.s.,,,
2017,71443339,,15000.0,27250466,SoKool s.r.o.,,,
2017,71443339,,35000.0,5690021,Spa Hotel Management s.r.o.,,,
2017,71443339,,24000.0,25205013,"SPORT-SERVIS ML, spol. s.r.o.",,,
2017,71443339,,30000.0,48035599,SWIETELSKY stavební s.r.o.,,,
2017,71443339,,0.0,47473894,"T A L P A , spol. s r.o.",,,
2017,71443339,,10000.0,3667952,TATRA METALURGIE a.s.,,,
2017,71443339,2017-06-28,100000.0,48396133,Technomont Frýdek-Místek s.r.o.,,,
2017,71443339,,0.0,68550618,"TJ JISKRA SEDLIŠTĚ, z.s.",,,
2017,71443339,,0.0,13586424,"TJ Sokol Havlovice, z.s.",,,
2017,71443339,2017-06-29,150000.0,27372162,TOP DECK CATERING s.r.o.,,,
2017,71443339,2017-07-21,180000.0,63489601,TRIMETAL s.r.o.,,,
2017,71443339,,15000.0,26961873,"UniCab, s.r.o.",,,
2017,71443339,,15000.0,26961873,"UniCab, s.r.o.",,,
2017,71443339,2017-07-19,50000.0,60793015,Úsovsko  a.s.,,,
2017,71443339,,50000.0,60793015,Úsovsko  a.s.,,,
2017,71443339,,0.0,27515664,"V & T, s.r.o.",,,
2017,71443339,2017-09-19,200000.0,60736275,"VACUTEC MORAVIA, spol. s r.o.",,,
2017,71443339,,50000.0,25894510,VANESTA reklama s.r.o.,,,
2017,71443339,,100000.0,28566939,VG Consulting & Services s.r.o.,,,
2017,71443339,,0.0,26950600,VINAŘSTVÍ MIKROSVÍN MIKULOV a.s.,,,
2017,71443339,,30000.0,25001477,VINECO-Vinné sklepy Chomutov s.r.o.,,,
2017,71443339,2017-12-05,100000.0,63474531,WACHAL s.r.o.,,,
2017,71443339,,50000.0,15059456,WAN SERVIS spol. s r. o.,,,
2017,71443339,,0.0,28776780,"ZEMPRO - JAHODA, ZEZULA s.r.o.",,,
2017,71443339,2017-10-16,500000.0,46346074,"Zetor, a.s.",,,
2017,71443339,,0.0,46678140,ZZN Pelhřimov a.s.,,,
2017,71443339,,0.0,46678140,ZZN Pelhřimov a.s.,,,
2017,71443339,,0.0,46678140,ZZN Pelhřimov a.s.,,,
2017,71443274,,,,,,,
2017,27038050,,,,,,,
2017,05989175,2017-11-27,150000.0,5215641,"Czexit, z.s.",,,
2017,05989175,2017-10-16,250000.0,5215641,"Czexit, z.s.",,,
2017,05989175,2017-10-17,250000.0,5215641,"Czexit, z.s.",,,
2017,05989175,2017-09-01,100000.0,26126206,Finex Holding a.s.,,,
2017,05989175,2017-06-06,50000.0,28462335,Projan service s.r.o.,,,
2017,05989175,2017-09-29,300000.0,24689211,Sycorax a.s.,,,
2017,06048099,,,,,,,
2017,26587840,,,,,,,
2017,05754577,2017-08-10,50000.0,24279190,"Blue Strategy, s.r.o",,,
2017,05754577,,0.0,2916495,"Freedom publicite, s.r.o.",,,
2017,05754577,2017-08-07,19000.0,26242397,"ODISS OIL, s.r.o",,,
2017,05754577,,0.0,5719283,"Parkour Project, s.r.o",,,
2017,05754577,,0.0,27065278,"Vidite.cz, s.r.o.",,,
2017,05754577,,0.0,62024451,"Vršovská Brána , s.r.o.",,,
2017,71443428,,,,,,,
2017,03094553,,,,,,,
2017,04690753,,27000.0,575810,"DIGITAL TELECOMMUNICATIONS, spo. s r.o.",,,
2017,00442721,,0.0,26636204,"České mírové fórum, z. s.",,,
2017,27015904,,,,,,,
2017,71443207,,,,,,,
2017,71339442,,,,,,,
2017,26650797,,,,,,,
2017,05391628,,,,,,,
2017,03168786,,,,,,,
2017,06576095,,,,,,,
2017,03204723,,,,,,,
2017,71443479,,,,,,,
2017,71443185,2017-01-20,95000.0,71443312,JIHOČEŠI 2012,,,
2017,71443185,2017-07-04,213750.0,26673908,STAROSTOVÉ A NEZÁVISLÍ,,,
2017,71443185,2017-08-30,11285.0,26673908,STAROSTOVÉ A NEZÁVISLÍ,,,
2017,71443185,2017-12-18,225000.0,26673908,STAROSTOVÉ A NEZÁVISLÍ,,,
2017,02985349,,,,,,,
2017,68321457,,,,,,,
2017,03174531,,,,,,,
2017,27039145,,,,,,,
2017,03206211,,,,,,,
2017,05164966,2017-12-01,2000.0,26085895,AZ TRADE CZ spol. s r.o.,,,
2017,71443312,,,,,,,
2017,02733552,,0.0,24746410,Cestovní kancelář – Sport s.r.o.,,,
2017,02733552,,45000.0,3892026,KORBEL facility s.r.o.,,,
2017,02733552,,30000.0,41789555,Ondřej Ullrich,,,
2017,02733552,,30000.0,27601102,P.W.I. CZ s.r.o.,,,
2017,02733552,2017-08-08,40000.0,27936457,Tintern Abbey s.r.o.,,,
2017,02733552,,35000.0,27936457,Tintern Abbey s.r.o.,,,
2017,04889321,,,,,,,
2017,71339965,,,,,,,
2017,00539996,,295978.0,71339728,TOP 09,,,
2017,00442704,2017-09-12,0.0,47858591,„Katolický spolkový dům v Lipníku nad Bečvou”,,,
2017,00442704,2017-10-16,50000.0,24813818,ABSOLUTE COMPANY s.r.o.,,,
2017,00442704,2017-01-02,5000.0,28658094,ADVOKÁTNÍ KANCELÁŘ KONEČNÝ s.r.o.,,,
2017,00442704,2017-10-12,0.0,60934841,AG - Horní Rybníky s.r.o.,,,
2017,00442704,2017-10-17,0.0,69859914,APOLENKA z.s.,,,
2017,00442704,2017-11-28,0.0,70863229,"Asociace TOM ČR, TOM 6313 Zálesáci",,,
2017,00442704,2017-10-13,0.0,25345320,"AUTOCONTROL, spol. s r.o.",,,
2017,00442704,2017-06-22,100000.0,24674508,"BFS Energo, a.s.",,,
2017,00442704,2017-10-10,200000.0,27729702,Bono Vino s.r.o.,,,
2017,00442704,2017-10-13,0.0,28269888,"Centrum péče o ženu, s.r.o.",,,
2017,00442704,2017-10-01,0.0,27755177,cresco&finance a.s.,,,
2017,00442704,2017-10-09,100000.0,60849657,ČEVAK a.s.,,,
2017,00442704,2017-11-28,0.0,60934883,D U K O R s.r.o.,,,
2017,00442704,2017-10-16,0.0,48806749,Diakonie ČCE - středisko v Rýmařově,,,
2017,00442704,2017-10-16,0.0,48806749,Diakonie ČCE - středisko v Rýmařově,,,
2017,00442704,2017-10-16,0.0,48806749,Diakonie ČCE - středisko v Rýmařově,,,
2017,00442704,2017-10-16,0.0,48806749,Diakonie ČCE - středisko v Rýmařově,,,
2017,00442704,2017-05-23,200000.0,60469463,"DIANA COMPANY,spol.s r.o.",,,
2017,00442704,2017-11-29,0.0,45247935,Dílo Mariino (Hnutí Focolare) - ženská část,,,
2017,00442704,2017-10-11,0.0,2953811,Disavino plus s.r.o.,,,
2017,00442704,2017-10-12,0.0,28606370,DOPRASTAV PERÚTKA s.r.o.,,,
2017,00442704,2017-09-14,100000.0,45474281,"Dopravní stavby Brno, s.r.o.",,,
2017,00442704,2017-10-01,0.0,27763196,Dušan Hopp Auto Díly Servis s.r.o.,,,
2017,00442704,2017-10-18,0.0,65831209,Dušan Horák - Horákovy Školky,,,
2017,00442704,2017-06-29,200000.0,28497422,EC Kutná Hora s.r.o.,,,
2017,00442704,2017-10-10,80000.0,29190606,Elbote s.r.o.,,,
2017,00442704,2017-10-18,0.0,63489996,ELSPET s.r.o.,,,
2017,00442704,2017-10-18,0.0,63489996,ELSPET s.r.o.,,,
2017,00442704,2017-10-12,0.0,25970852,ENERGIE Termo s.r.o.,,,
2017,00442704,2017-10-12,0.0,25970852,ENERGIE Termo s.r.o.,,,
2017,00442704,2017-10-18,0.0,27703231,Eurogalaxie s.r.o.,,,
2017,00442704,2017-10-19,0.0,75515181,Eva Kandrnálová,,,
2017,00442704,2017-10-12,0.0,69576025,Farní sbor Slezské církve evangelické a. v. v Orlové,,,
2017,00442704,2017-06-12,0.0,45620741,FERI BOOT Varadiová Eva,,,
2017,00442704,2017-10-13,0.0,49968947,FERRUM s.r.o.,,,
2017,00442704,2017-09-20,15000.0,49968947,FERRUM s.r.o.,,,
2017,00442704,2017-04-28,150000.0,27813801,FIGHT SPORT s.r.o.,,,
2017,00442704,2017-10-19,0.0,74662864,František Fornůsek - Lexan Kunovice,,,
2017,00442704,2017-10-12,0.0,25824023,HAHN  s.r.o.,,,
2017,00442704,2017-09-19,0.0,47697253,Haláková Oľga,,,
2017,00442704,2017-10-04,100000.0,26968029,Hlinky 34 s.r.o.,,,
2017,00442704,2017-09-20,300000.0,25394967,"Hotel Hluboký dvůr, a.s.",,,
2017,00442704,2017-10-05,100000.0,25394967,"Hotel Hluboký dvůr, a.s.",,,
2017,00442704,2017-12-29,100000.0,11615761,Ing. Vladislav Toman,,,
2017,00442704,2017-10-12,280000.0,25521039,INREKA PLOŠINY s.r.o.,,,
2017,00442704,2017-10-16,0.0,12429988,Jan Poukar,,,
2017,00442704,2017-10-13,0.0,48526690,"Jednota sv. Josefa, z. s.",,,
2017,00442704,2017-10-11,0.0,26991268,Jesenický horský spolek,,,
2017,00442704,2017-10-19,0.0,65317599,Jiří Hanák  - Zed.a obklad.práce,,,
2017,00442704,2017-10-16,0.0,5458251,"JR Serwetnicki, s.r.o.",,,
2017,00442704,2017-10-16,0.0,5458251,"JR Serwetnicki, s.r.o.",,,
2017,00442704,2017-10-04,30000.0,24151360,"K - med, s.r.o.",,,
2017,00442704,2017-10-30,18000.0,24151360,"K - med, s.r.o.",,,
2017,00442704,2017-10-26,100000.0,28270452,"K-STAV TŘEBÍČ, s.r.o.",,,
2017,00442704,2017-10-16,0.0,22981667,Karel Rakovský,,,
2017,00442704,2017-10-16,0.0,22981667,Karel Rakovský,,,
2017,00442704,2017-10-18,25000.0,65831721,"Karhan Pavel, Ing.",,,
2017,00442704,2017-10-12,0.0,16628357,"Katolická beseda v Kopřivnici, z. s.",,,
2017,00442704,2017-06-19,0.0,15529711,Katolický spolek,,,
2017,00442704,2017-10-12,0.0,62691970,Katolický spolek ve farnosti Pouchov,,,
2017,00442704,2017-08-04,100000.0,72420715,KODIAK - Robin Mikoláš,,,
2017,00442704,2017-12-12,10000.0,4123948,Koukalová Ludmila MUDr.  - všeobecné praktické lékařství s.r.o.,,,
2017,00442704,2017-10-16,0.0,65140745,Krnovská škrobárna spol. s r.o.,,,
2017,00442704,2017-11-28,0.0,66804019,Kučerová Magda Mgr.,,,
2017,00442704,2017-10-16,0.0,63598175,Ladislav Jansík,,,
2017,00442704,2017-11-01,40000.0,5493994,"LTV1 Partner, s.r.o.",,,
2017,00442704,2017-10-16,0.0,10462112,Lubomír Vaňkát,,,
