year,ic,name,companyId,address,share
2019,26587840,,,,
2019,07204752,,,,
2019,05103487,,,,
2019,05754577,,,,
2019,71443428,,,,
2019,07290853,,,,
2019,03094553,,,,
2019,00442721,,,,
2019,71443207,,,,
2019,71443240,,,,
2019,07972733,,,,
2019,07307977,,,,
2019,05391628,,,,
2019,03168786,,,,
2019,03204723,,,,
2019,02674831,,,,
2019,07921331,,,,
2019,71443185,,,,
2019,68321457,,,,
2019,03174531,,,,
2019,27039145,,,,
2019,26600218,,,,
2019,07991070,,,,
2019,71443312,,,,
2019,02733552,,,,
2019,04889321,,,,
2019,71339965,,,,
2019,00442704,Nový Hlas s.r.o.,26505576.0,"Karlovo náměstí 317/5, 128 00,Praha 2",100.0
2019,07196989,,,,
2019,27034321,,,,
2019,15271960,,,,
2019,71339973,,,,
2019,00496936,"FUTURA, a.s.",16192893.0,"Politických vězňů 1531/9, Praha 1, 110 00",90.5
2019,03152952,,,,
2019,71339582,,,,
2019,71443606,,,,
2019,49628089,,,,
2019,60456400,,,,
2019,07157029,,,,
2019,68455941,,,,
2019,03254747,,,,
2019,44266740,,,,
2019,07027761,,,,
2019,07286210,,,,
2019,07312946,,,,
2019,71443452,,,,
2019,69345473,,,,
2019,60458399,,,,
2019,71339779,,,,
2019,27034500,,,,
2019,71443649,,,,
2019,27053024,,,,
2019,03219208,,,,
2019,71443584,,,,
2019,03174697,,,,
2019,03016242,,,,
2019,26668980,,,,
2019,16192656,Adved s.r.o.,28925009.0,"Truhlářská 1106/9, Nové Město, 110 00 Praha 1",50.0
2019,06860176,,,,
2019,03099598,,,,
2019,71443517,,,,
2019,03221083,,,,
2019,71443215,,,,
2019,71443410,,,,
2019,71443681,,,,
2019,03080935,,,,
2019,71339698,1. Pirátská s.r.o.,6194559.0,"Na Moráni 360/3, Praha 2, 128 00",100.0
2019,03170624,,,,
2019,71443550,,,,
2019,02885573,,,,
2019,07283652,,,,
2019,04756339,,,,
2019,03204669,,,,
2019,71339809,,,,
2019,27038131,,,,
2019,03091805,,,,
2019,03254763,,,,
2019,71443380,,,,
2019,26595940,,,,
2019,27026922,,,,
2019,06695205,,,,
2019,71339485,,,,
2019,07218443,,,,
2019,71339990,,,,
2019,70869553,,,,
