year,ic,key,description,amount
2017,00442721,3f,volby do Evropského parlamentu,0.0
2017,27015904,1,Mzdové výdaje,0.0
2017,27015904,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",6000.0
2017,27015904,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,27015904,3b,volby do Senátu Parlamentu ČR,0.0
2017,27015904,3c,volba prezidenta republiky,0.0
2017,27015904,3d,volby do zastupitelstev krajů,0.0
2017,27015904,3e,volby do zastupitelstev obcí,0.0
2017,27015904,3f,volby do Evropského parlamentu,0.0
2017,71443207,1,Mzdové výdaje,0.0
2017,71443207,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",6715.0
2017,71443207,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,71443207,3b,volby do Senátu Parlamentu ČR,0.0
2017,71443207,3c,volba prezidenta republiky,0.0
2017,71443207,3d,volby do zastupitelstev krajů,0.0
2017,71443207,3e,volby do zastupitelstev obcí,0.0
2017,71443207,3f,volby do Evropského parlamentu,0.0
2017,71339442,1,Mzdové výdaje,10000.0
2017,71339442,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",1576.0
2017,71339442,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,71339442,3b,volby do Senátu Parlamentu ČR,0.0
2017,71339442,3c,volba prezidenta republiky,0.0
2017,71339442,3d,volby do zastupitelstev krajů,0.0
2017,71339442,3e,volby do zastupitelstev obcí,0.0
2017,71339442,3f,volby do Evropského parlamentu,0.0
2017,26650797,1,Mzdové výdaje,0.0
2017,26650797,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",222462.0
2017,26650797,3a,volby do Poslanecké sněmovny Parlamentu ČR,364994.0
2017,26650797,3b,volby do Senátu Parlamentu ČR,0.0
2017,26650797,3c,volba prezidenta republiky,0.0
2017,26650797,3d,volby do zastupitelstev krajů,0.0
2017,26650797,3e,volby do zastupitelstev obcí,0.0
2017,26650797,3f,volby do Evropského parlamentu,0.0
2017,05391628,1,Mzdové výdaje,0.0
2017,05391628,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",12100.0
2017,05391628,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,05391628,3b,volby do Senátu Parlamentu ČR,0.0
2017,05391628,3c,volba prezidenta republiky,0.0
2017,05391628,3d,volby do zastupitelstev krajů,0.0
2017,05391628,3e,volby do zastupitelstev obcí,0.0
2017,05391628,3f,volby do Evropského parlamentu,0.0
2017,03168786,1,Mzdové výdaje,0.0
2017,03168786,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",14846.0
2017,03168786,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,03168786,3b,volby do Senátu Parlamentu ČR,0.0
2017,03168786,3c,volba prezidenta republiky,0.0
2017,03168786,3d,volby do zastupitelstev krajů,0.0
2017,03168786,3e,volby do zastupitelstev obcí,0.0
2017,03168786,3f,volby do Evropského parlamentu,0.0
2017,06576095,1,Mzdové výdaje,0.0
2017,06576095,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,06576095,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,06576095,3b,volby do Senátu Parlamentu ČR,0.0
2017,06576095,3c,volba prezidenta republiky,0.0
2017,06576095,3d,volby do zastupitelstev krajů,0.0
2017,06576095,3e,volby do zastupitelstev obcí,0.0
2017,06576095,3f,volby do Evropského parlamentu,0.0
2017,03204723,1,Mzdové výdaje,0.0
2017,03204723,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,03204723,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,03204723,3b,volby do Senátu Parlamentu ČR,0.0
2017,03204723,3c,volba prezidenta republiky,0.0
2017,03204723,3d,volby do zastupitelstev krajů,0.0
2017,03204723,3e,volby do zastupitelstev obcí,0.0
2017,03204723,3f,volby do Evropského parlamentu,0.0
2017,71443479,1,Mzdové výdaje,0.0
2017,71443479,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",1210.0
2017,71443479,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,71443479,3b,volby do Senátu Parlamentu ČR,0.0
2017,71443479,3c,volba prezidenta republiky,0.0
2017,71443479,3d,volby do zastupitelstev krajů,0.0
2017,71443479,3e,volby do zastupitelstev obcí,0.0
2017,71443479,3f,volby do Evropského parlamentu,0.0
2017,71443185,1,Mzdové výdaje,23760.0
2017,71443185,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,71443185,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,71443185,3b,volby do Senátu Parlamentu ČR,0.0
2017,71443185,3c,volba prezidenta republiky,0.0
2017,71443185,3d,volby do zastupitelstev krajů,0.0
2017,71443185,3e,volby do zastupitelstev obcí,0.0
2017,71443185,3f,volby do Evropského parlamentu,0.0
2017,02985349,1,Mzdové výdaje,0.0
2017,02985349,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,02985349,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,02985349,3b,volby do Senátu Parlamentu ČR,0.0
2017,02985349,3c,volba prezidenta republiky,0.0
2017,02985349,3d,volby do zastupitelstev krajů,0.0
2017,02985349,3e,volby do zastupitelstev obcí,0.0
2017,02985349,3f,volby do Evropského parlamentu,0.0
2017,68321457,1,Mzdové výdaje,0.0
2017,68321457,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",8144.0
2017,68321457,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,68321457,3b,volby do Senátu Parlamentu ČR,0.0
2017,68321457,3c,volba prezidenta republiky,0.0
2017,68321457,3d,volby do zastupitelstev krajů,0.0
2017,68321457,3e,volby do zastupitelstev obcí,0.0
2017,68321457,3f,volby do Evropského parlamentu,0.0
2017,03174531,1,Mzdové výdaje,0.0
2017,03174531,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",8.0
2017,03174531,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,03174531,3b,volby do Senátu Parlamentu ČR,0.0
2017,03174531,3c,volba prezidenta republiky,0.0
2017,03174531,3d,volby do zastupitelstev krajů,0.0
2017,03174531,3e,volby do zastupitelstev obcí,0.0
2017,03174531,3f,volby do Evropského parlamentu,0.0
2017,27039145,1,Mzdové výdaje,0.0
2017,27039145,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",102790.0
2017,27039145,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,27039145,3b,volby do Senátu Parlamentu ČR,0.0
2017,27039145,3c,volba prezidenta republiky,0.0
2017,27039145,3d,volby do zastupitelstev krajů,0.0
2017,27039145,3e,volby do zastupitelstev obcí,0.0
2017,27039145,3f,volby do Evropského parlamentu,0.0
2017,03206211,1,Mzdové výdaje,0.0
2017,03206211,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,03206211,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,03206211,3b,volby do Senátu Parlamentu ČR,0.0
2017,03206211,3c,volba prezidenta republiky,0.0
2017,03206211,3d,volby do zastupitelstev krajů,0.0
2017,03206211,3e,volby do zastupitelstev obcí,0.0
2017,03206211,3f,volby do Evropského parlamentu,0.0
2017,05164966,1,Mzdové výdaje,0.0
2017,05164966,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",1654.0
2017,05164966,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,05164966,3b,volby do Senátu Parlamentu ČR,0.0
2017,05164966,3c,volba prezidenta republiky,0.0
2017,05164966,3d,volby do zastupitelstev krajů,0.0
2017,05164966,3e,volby do zastupitelstev obcí,0.0
2017,05164966,3f,volby do Evropského parlamentu,0.0
2017,71443312,1,Mzdové výdaje,0.0
2017,71443312,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",282748.6
2017,71443312,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,71443312,3b,volby do Senátu Parlamentu ČR,0.0
2017,71443312,3c,volba prezidenta republiky,0.0
2017,71443312,3d,volby do zastupitelstev krajů,0.0
2017,71443312,3e,volby do zastupitelstev obcí,0.0
2017,71443312,3f,volby do Evropského parlamentu,0.0
2017,02733552,1,Mzdové výdaje,0.0
2017,02733552,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,02733552,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,02733552,3b,volby do Senátu Parlamentu ČR,0.0
2017,02733552,3c,volba prezidenta republiky,0.0
2017,02733552,3d,volby do zastupitelstev krajů,0.0
2017,02733552,3e,volby do zastupitelstev obcí,457073.0
2017,02733552,3f,volby do Evropského parlamentu,0.0
2017,04889321,1,Mzdové výdaje,0.0
2017,04889321,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,04889321,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,04889321,3b,volby do Senátu Parlamentu ČR,0.0
2017,04889321,3c,volba prezidenta republiky,0.0
2017,04889321,3d,volby do zastupitelstev krajů,0.0
2017,04889321,3e,volby do zastupitelstev obcí,0.0
2017,04889321,3f,volby do Evropského parlamentu,0.0
2017,71339965,1,Mzdové výdaje,0.0
2017,71339965,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,71339965,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,71339965,3b,volby do Senátu Parlamentu ČR,0.0
2017,71339965,3c,volba prezidenta republiky,0.0
2017,71339965,3d,volby do zastupitelstev krajů,0.0
2017,71339965,3e,volby do zastupitelstev obcí,0.0
2017,71339965,3f,volby do Evropského parlamentu,0.0
2017,00539996,1,Mzdové výdaje,0.0
2017,00539996,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",923.4
2017,00539996,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,00539996,3b,volby do Senátu Parlamentu ČR,0.0
