year,ic,key,description,amount
2017,05989175,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,06048099,1,Příjmy celkem,128600.0
2017,06048099,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,06048099,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,06048099,4,Členské příspěvky,6100.0
2017,06048099,5,"Dary, dědictví a bezúplatná plnění",122500.0
2017,06048099,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,06048099,7,Úroky z vkladů,0.0
2017,06048099,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,06048099,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,06048099,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,06048099,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,26587840,1,Příjmy celkem,4005.0
2017,26587840,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,26587840,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,26587840,4,Členské příspěvky,5.0
2017,26587840,5,"Dary, dědictví a bezúplatná plnění",4000.0
2017,26587840,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,26587840,7,Úroky z vkladů,0.0
2017,26587840,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,26587840,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,26587840,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,26587840,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,05754577,1,Příjmy celkem,605358.0
2017,05754577,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,05754577,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,05754577,4,Členské příspěvky,188700.0
2017,05754577,5,"Dary, dědictví a bezúplatná plnění",416658.0
2017,05754577,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,05754577,7,Úroky z vkladů,0.0
2017,05754577,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,05754577,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,05754577,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,05754577,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,71443428,1,Příjmy celkem,29001.92
2017,71443428,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,71443428,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,71443428,4,Členské příspěvky,9000.0
2017,71443428,5,"Dary, dědictví a bezúplatná plnění",20000.0
2017,71443428,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,71443428,7,Úroky z vkladů,1.92
2017,71443428,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,71443428,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,71443428,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,71443428,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,03094553,1,Příjmy celkem,2500.0
2017,03094553,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,03094553,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,03094553,4,Členské příspěvky,2500.0
2017,03094553,5,"Dary, dědictví a bezúplatná plnění",0.0
2017,03094553,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,03094553,7,Úroky z vkladů,0.0
2017,03094553,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,03094553,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,03094553,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,03094553,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,04690753,1,Příjmy celkem,27000.0
2017,04690753,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,04690753,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,04690753,4,Členské příspěvky,0.0
2017,04690753,5,"Dary, dědictví a bezúplatná plnění",27000.0
2017,04690753,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,04690753,7,Úroky z vkladů,0.0
2017,04690753,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,04690753,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,04690753,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,04690753,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,00442721,1,Příjmy celkem,393061.64
2017,00442721,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,00442721,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,00442721,4,Členské příspěvky,12300.0
2017,00442721,5,"Dary, dědictví a bezúplatná plnění",380761.64
2017,00442721,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,00442721,7,Úroky z vkladů,0.0
2017,00442721,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,00442721,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,00442721,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,00442721,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,27015904,1,Příjmy celkem,5000.0
2017,27015904,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,27015904,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,27015904,4,Členské příspěvky,5000.0
2017,27015904,5,"Dary, dědictví a bezúplatná plnění",0.0
2017,27015904,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,27015904,7,Úroky z vkladů,0.0
2017,27015904,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,27015904,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,27015904,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,27015904,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,71443207,1,Příjmy celkem,0.0
2017,71443207,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,71443207,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,71443207,4,Členské příspěvky,0.0
2017,71443207,5,"Dary, dědictví a bezúplatná plnění",0.0
2017,71443207,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,71443207,7,Úroky z vkladů,0.0
2017,71443207,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,71443207,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,71443207,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,71443207,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,71339442,1,Příjmy celkem,24.0
2017,71339442,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,71339442,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,71339442,4,Členské příspěvky,0.0
2017,71339442,5,"Dary, dědictví a bezúplatná plnění",0.0
2017,71339442,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,71339442,7,Úroky z vkladů,24.0
2017,71339442,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,71339442,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,71339442,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,71339442,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,26650797,1,Příjmy celkem,620356.0
2017,26650797,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,26650797,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,26650797,4,Členské příspěvky,126150.0
2017,26650797,5,"Dary, dědictví a bezúplatná plnění",392254.0
2017,26650797,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",101950.0
2017,26650797,7,Úroky z vkladů,2.0
2017,26650797,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,26650797,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,26650797,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,26650797,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,05391628,1,Příjmy celkem,75000.0
2017,05391628,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,05391628,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,05391628,4,Členské příspěvky,75000.0
2017,05391628,5,"Dary, dědictví a bezúplatná plnění",0.0
2017,05391628,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,05391628,7,Úroky z vkladů,0.0
2017,05391628,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,05391628,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,05391628,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,05391628,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,03168786,1,Příjmy celkem,11950.0
2017,03168786,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,03168786,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,03168786,4,Členské příspěvky,1950.0
2017,03168786,5,"Dary, dědictví a bezúplatná plnění",10000.0
2017,03168786,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,03168786,7,Úroky z vkladů,0.0
2017,03168786,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,03168786,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,03168786,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,03168786,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,06576095,1,Příjmy celkem,0.0
2017,06576095,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,06576095,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,06576095,4,Členské příspěvky,0.0
2017,06576095,5,"Dary, dědictví a bezúplatná plnění",0.0
2017,06576095,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,06576095,7,Úroky z vkladů,0.0
2017,06576095,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
