year,ic,date,money,donor_key
2017,71443185,2017-08-30,11285.0,po.171
2017,71443185,2017-12-18,225000.0,po.171
2017,2985349,,,po.6
2017,68321457,,,po.6
2017,3174531,,,po.6
2017,27039145,,,po.6
2017,3206211,,,po.6
2017,5164966,2017-12-01,2000.0,po.179
2017,71443312,,,po.6
2017,2733552,,0.0,po.181
2017,2733552,,45000.0,po.182
2017,2733552,,30000.0,po.183
2017,2733552,,30000.0,po.184
2017,2733552,2017-08-08,40000.0,po.185
2017,2733552,,35000.0,po.185
2017,4889321,,,po.6
2017,71339965,,,po.6
2017,539996,,295978.0,po.189
2017,442704,2017-09-12,0.0,po.190
2017,442704,2017-10-16,50000.0,po.191
2017,442704,2017-01-02,5000.0,po.192
2017,442704,2017-10-12,0.0,po.193
2017,442704,2017-10-17,0.0,po.194
2017,442704,2017-11-28,0.0,po.195
2017,442704,2017-10-13,0.0,po.196
2017,442704,2017-06-22,100000.0,po.197
2017,442704,2017-10-10,200000.0,po.198
2017,442704,2017-10-13,0.0,po.199
2017,442704,2017-10-01,0.0,po.200
2017,442704,2017-10-09,100000.0,po.201
2017,442704,2017-11-28,0.0,po.202
2017,442704,2017-10-16,0.0,po.203
2017,442704,2017-10-16,0.0,po.203
2017,442704,2017-10-16,0.0,po.203
2017,442704,2017-10-16,0.0,po.203
2017,442704,2017-05-23,200000.0,po.207
2017,442704,2017-11-29,0.0,po.208
2017,442704,2017-10-11,0.0,po.209
2017,442704,2017-10-12,0.0,po.210
2017,442704,2017-09-14,100000.0,po.211
2017,442704,2017-10-01,0.0,po.212
2017,442704,2017-10-18,0.0,po.213
2017,442704,2017-06-29,200000.0,po.214
2017,442704,2017-10-10,80000.0,po.215
2017,442704,2017-10-18,0.0,po.216
2017,442704,2017-10-18,0.0,po.216
2017,442704,2017-10-12,0.0,po.218
2017,442704,2017-10-12,0.0,po.218
2017,442704,2017-10-18,0.0,po.220
2017,442704,2017-10-19,0.0,po.221
2017,442704,2017-10-12,0.0,po.222
2017,442704,2017-06-12,0.0,po.223
2017,442704,2017-10-13,0.0,po.224
2017,442704,2017-09-20,15000.0,po.224
2017,442704,2017-04-28,150000.0,po.226
2017,442704,2017-10-19,0.0,po.227
2017,442704,2017-10-12,0.0,po.228
2017,442704,2017-09-19,0.0,po.229
2017,442704,2017-10-04,100000.0,po.230
2017,442704,2017-09-20,300000.0,po.231
2017,442704,2017-10-05,100000.0,po.231
2017,442704,2017-12-29,100000.0,po.233
2017,442704,2017-10-12,280000.0,po.234
2017,442704,2017-10-16,0.0,po.235
2017,442704,2017-10-13,0.0,po.236
2017,442704,2017-10-11,0.0,po.237
2017,442704,2017-10-19,0.0,po.238
2017,442704,2017-10-16,0.0,po.239
2017,442704,2017-10-16,0.0,po.239
2017,442704,2017-10-04,30000.0,po.241
2017,442704,2017-10-30,18000.0,po.241
2017,442704,2017-10-26,100000.0,po.243
2017,442704,2017-10-16,0.0,po.244
2017,442704,2017-10-16,0.0,po.244
2017,442704,2017-10-18,25000.0,po.246
2017,442704,2017-10-12,0.0,po.247
2017,442704,2017-06-19,0.0,po.248
2017,442704,2017-10-12,0.0,po.249
2017,442704,2017-08-04,100000.0,po.250
2017,442704,2017-12-12,10000.0,po.251
2017,442704,2017-10-16,0.0,po.252
2017,442704,2017-11-28,0.0,po.253
2017,442704,2017-10-16,0.0,po.254
2017,442704,2017-11-01,40000.0,po.255
2017,442704,2017-10-16,0.0,po.256
2017,442704,2017-12-12,100000.0,po.257
2017,442704,2017-10-11,30000.0,po.258
2017,442704,2017-10-12,0.0,po.259
2017,442704,2017-10-12,0.0,po.260
2017,442704,2017-10-16,200000.0,po.261
2017,442704,2017-12-19,20000.0,po.262
2017,442704,2017-10-20,15000.0,po.263
2017,442704,2017-10-16,0.0,po.264
2017,442704,2017-10-12,0.0,po.265
2017,442704,2017-12-29,100000.0,po.78
2017,442704,2017-04-21,100000.0,po.267
2017,442704,2017-10-18,0.0,po.268
2017,442704,2017-10-25,20000.0,po.269
2017,442704,2017-03-13,279459.0,po.270
2017,442704,2017-10-18,0.0,po.271
2017,442704,2017-10-16,0.0,po.272
2017,442704,2017-10-18,0.0,po.273
2017,442704,2017-10-13,0.0,po.274
2017,442704,2017-10-18,0.0,po.275
2017,442704,2017-10-06,200000.0,po.276
2017,442704,2017-10-20,0.0,po.277
2017,442704,2017-10-20,0.0,po.278
2017,442704,2017-10-16,0.0,po.279
2017,442704,2017-08-28,0.0,po.280
2017,442704,2017-10-12,0.0,po.281
2017,442704,2017-10-13,0.0,po.282
2017,442704,2017-10-18,0.0,po.283
2017,442704,2017-10-18,0.0,po.283
2017,442704,2017-10-12,0.0,po.285
2017,442704,2017-08-29,0.0,po.286
2017,442704,2017-08-28,0.0,po.287
2017,442704,2017-08-28,0.0,po.288
2017,442704,2017-10-17,0.0,po.289
2017,442704,2017-10-18,0.0,po.290
2017,442704,2017-09-12,0.0,po.291
2017,442704,2017-10-20,0.0,po.292
2017,442704,2017-10-18,0.0,po.293
2017,442704,2017-06-06,0.0,po.294
2017,442704,2017-10-18,0.0,po.295
2017,442704,2017-10-12,0.0,po.296
2017,442704,2017-10-17,0.0,po.297
2017,442704,2017-10-12,0.0,po.298
2017,442704,2017-10-13,0.0,po.299
2017,442704,2017-10-13,0.0,po.299
2017,442704,2017-10-19,0.0,po.301
2017,442704,2017-10-12,0.0,po.302
2017,442704,2017-10-12,0.0,po.303
2017,442704,2017-10-12,0.0,po.303
2017,442704,2017-07-24,100000.0,po.305
2017,442704,2017-10-19,0.0,po.306
2017,442704,2017-10-19,0.0,po.306
2017,442704,2017-10-19,0.0,po.306
2017,442704,2017-04-12,100000.0,po.309
2017,442704,2017-10-23,100000.0,po.310
2017,442704,2017-09-20,100000.0,po.311
2017,442704,2017-09-29,20000.0,po.312
2017,442704,2017-10-16,0.0,po.313
2017,442704,2017-10-12,0.0,po.314
2017,442704,2017-10-12,0.0,po.315
2017,442704,2017-10-12,0.0,po.109
2017,442704,2017-10-20,0.0,po.317
2017,442704,2017-10-12,0.0,po.318
2017,442704,2017-10-12,0.0,po.319
2017,442704,2017-10-16,0.0,po.320
2017,442704,2017-10-16,0.0,po.320
2017,442704,2017-10-12,0.0,po.322
2017,442704,2017-10-12,0.0,po.323
2017,442704,2017-10-12,0.0,po.324
2017,442704,2017-10-19,0.0,po.325
2017,442704,2017-10-19,0.0,po.325
2017,442704,2017-10-16,0.0,po.327
2017,442704,2017-10-20,0.0,po.328
2017,442704,2017-10-12,0.0,po.329
2017,442704,2017-10-12,0.0,po.330
2017,442704,2017-10-12,0.0,po.330
2017,442704,2017-10-12,0.0,po.330
2017,442704,2017-10-12,0.0,po.333
2017,442704,2017-10-18,0.0,po.334
2017,442704,2017-10-18,0.0,po.334
2017,442704,2017-10-18,0.0,po.334
2017,442704,2017-10-18,0.0,po.337
2017,442704,2017-10-16,0.0,po.338
2017,442704,2017-10-16,0.0,po.338
2017,442704,2017-10-16,0.0,po.338
2017,442704,2017-10-18,0.0,po.341
2017,442704,2017-10-20,0.0,po.342
2017,442704,2017-10-20,0.0,po.343
2017,442704,2017-10-16,0.0,po.344
2017,442704,2017-10-16,0.0,po.344
2017,442704,2017-10-16,0.0,po.346
2017,442704,2017-10-16,0.0,po.347
2017,442704,2017-10-20,0.0,po.348
2017,442704,2017-10-12,0.0,po.349
2017,442704,2017-10-16,0.0,po.350
2017,442704,2017-10-16,0.0,po.351
2017,442704,2017-10-16,0.0,po.351
2017,442704,2017-10-16,0.0,po.351
2017,442704,2017-10-18,0.0,po.354
2017,442704,2017-10-16,0.0,po.355
2017,442704,2017-10-16,0.0,po.355
2017,442704,2017-11-27,0.0,po.357
2017,442704,2017-10-16,0.0,po.358
2017,442704,2017-10-16,0.0,po.359
2017,442704,2017-10-16,0.0,po.359
2017,442704,2017-10-16,0.0,po.359
2017,442704,2017-10-16,0.0,po.359
2017,442704,2017-10-16,0.0,po.359
2017,442704,2017-10-16,0.0,po.359
2017,442704,2017-10-16,0.0,po.359
2017,442704,2017-10-12,0.0,po.366
2017,442704,2017-10-16,0.0,po.367
2017,442704,2017-10-16,0.0,po.367
2017,442704,2017-10-20,0.0,po.369
2017,442704,2017-10-16,0.0,po.370
2017,442704,2017-10-16,0.0,po.370
2017,442704,2017-10-16,0.0,po.372
2017,442704,2017-10-16,0.0,po.372
2017,442704,2017-10-18,0.0,po.374
2017,442704,2017-10-18,0.0,po.375
2017,442704,2017-10-18,0.0,po.375
2017,442704,2017-05-19,400000.0,po.377
2017,442704,2017-01-17,0.0,po.378
2017,442704,2017-01-02,10000.0,po.379
2017,442704,2017-10-12,0.0,po.380
2017,442704,2017-11-28,0.0,po.381
2017,442704,2017-12-07,15000.0,po.382
2017,442704,2017-12-29,50000.0,po.383
2017,442704,2017-10-20,0.0,po.384
2017,442704,2017-10-12,0.0,po.385
2017,442704,2017-10-20,0.0,po.386
2017,442704,2017-10-06,30000.0,po.387
2017,442704,2017-10-16,0.0,po.388
2017,442704,2017-10-16,0.0,po.388
2017,442704,2017-10-16,0.0,po.388
2017,442704,2017-09-27,150000.0,po.391
2017,442704,2017-10-12,0.0,po.392
2017,442704,2017-10-10,120000.0,po.393
2017,442704,2017-10-05,350000.0,po.394
2017,442704,2017-10-09,50000.0,po.395
2017,442704,2017-09-21,0.0,po.396
2017,442704,2017-01-04,5000.0,po.397
2017,442704,2017-10-12,0.0,po.398
2017,442704,2017-06-26,60000.0,po.399
2017,442704,2017-09-04,20000.0,po.400
2017,442704,2017-10-19,0.0,po.401
2017,442704,2017-08-25,200000.0,po.402
2017,27034321,,,po.6
2017,70226709,,,po.6
2017,26592118,,,po.6
2017,15271960,2017-12-21,295978.0,po.189
2017,71339973,,,po.6
2017,496936,2017-10-05,0.0,po.408
2017,496936,2017-09-25,0.0,po.408
2017,496936,2017-10-06,0.0,po.410
2017,496936,2017-09-11,0.0,po.411
2017,496936,2017-08-30,0.0,po.412
2017,496936,2017-09-01,0.0,po.413
2017,496936,2017-07-20,0.0,po.414
2017,496936,2017-08-01,0.0,po.415
2017,496936,2017-07-20,0.0,po.416
2017,496936,2017-09-11,0.0,po.417
2017,3152952,,,po.6
2017,71443606,2017-11-09,77625.0,po.419
2017,71443606,2017-12-22,340978.0,po.189
2017,68455941,,,po.6
2017,26598647,,,po.6
2017,3254747,,,po.6
2017,44266740,2017-12-22,295978.0,po.189
2017,60556625,,,po.6
2017,71443452,,,po.6
2017,409421,,,po.6
2017,60458399,,,po.6
2017,71339779,,,po.6
2017,27034500,,,po.6
2017,3219208,,,po.6
2017,71443584,,,po.6
2017,3174697,,,po.6
2017,3016242,,,po.6
2017,5266009,,,po.6
2017,71340017,,,po.6
2017,71443533,,,po.6
2017,16192656,2017-09-26,0.0,po.438
2017,16192656,2017-10-02,160000.0,po.439
2017,16192656,2017-04-07,100000.0,po.440
2017,16192656,2017-11-23,10000.0,po.441
2017,16192656,2017-09-13,500000.0,po.442
2017,16192656,2017-05-17,50000.0,po.443
2017,16192656,2017-07-31,200000.0,po.444
2017,16192656,2017-09-21,0.0,po.445
2017,16192656,2017-10-11,0.0,po.446
2017,16192656,2017-09-25,60000.0,po.447
2017,16192656,2017-06-26,30000.0,po.448
2017,16192656,2017-10-24,0.0,po.449
2017,16192656,2017-06-09,100000.0,po.450
2017,16192656,2017-07-25,50000.0,po.451
2017,16192656,2017-09-12,150000.0,po.452
2017,16192656,2017-08-15,0.0,po.453
2017,16192656,2017-08-07,5000.0,po.454
2017,16192656,2017-10-12,0.0,po.455
2017,16192656,2017-07-17,5000.0,po.456
2017,16192656,2017-08-14,0.0,po.457
2017,16192656,2017-08-14,0.0,po.457
2017,16192656,2017-08-14,0.0,po.457
2017,16192656,2017-10-09,2000.0,po.460
2017,16192656,2017-06-12,50000.0,po.461
2017,16192656,2017-08-03,10000.0,po.462
2017,16192656,2017-10-16,0.0,po.463
2017,16192656,2017-07-18,400000.0,po.464
2017,16192656,2017-08-09,50000.0,po.465
2017,16192656,2017-04-10,50000.0,po.465
2017,16192656,2017-07-17,30000.0,po.467
2017,16192656,2017-03-13,1000.0,po.468
2017,16192656,2017-10-16,0.0,po.469
2017,16192656,2017-07-24,5000.0,po.470
2017,16192656,2017-05-12,10000.0,po.470
2017,16192656,2017-08-28,0.0,po.470
2017,16192656,2017-09-04,0.0,po.473
2017,16192656,2017-10-06,0.0,po.474
2017,16192656,2017-08-07,40000.0,po.475
2017,16192656,2017-08-21,0.0,po.476
