year,ic,job,number
2018,27034321,,
2018,70226709,,
2018,15271960,,
2018,71339973,,
2018,00496936,politický pracovník,125.0
2018,00496936,odborný pracovník,86.0
2018,00496936,technicko-hospodáský pracovník,52.0
2018,03152952,,
2018,71339582,,
2018,71443606,,
2018,07157029,,
2018,26598647,,
2018,03254747,,
2018,44266740,,
2018,60556625,,
2018,07027761,,
2018,07286210,,
2018,71443291,,
2018,07312946,,
2018,71443452,,
2018,60458399,administrativní činnost,2.0
2018,60458399,roznos letáků,1.0
2018,71339779,,
2018,27034500,,
2018,71443649,,
2018,27053024,,
2018,71443584,,
2018,03174697,,
2018,03016242,,
2018,26668980,,
2018,71340017,,
2018,71443533,,
2018,16192656,Analytické a PR práce,16.0
2018,16192656,Účetní a ekonomické práce,11.0
2018,16192656,Administrativní práce,6.0
2018,16192656,Technické a provozní práce,11.0
2018,16192656,Vedoucí zaměstnanci,3.0
2018,06860176,,
2018,03099598,,
2018,71443517,,
2018,03221083,Dohoda o provedení práce,1.0
2018,71443215,administrativní práce,3.0
2018,71443410,,
2018,03080935,,
2018,71339698,Administrativa,23.0
2018,03170624,,
2018,71443550,,
2018,02885573,,
2018,07283652,,
2018,03204669,Administrativní práce,3.0
2018,71339809,,
2018,27038131,,
2018,03091805,,
2018,03254763,,
2018,06339875,,
2018,05632595,Dohoda o provedení práce v 08 - 09/2018  - volby Senát,1.0
2018,71443380,,
2018,26595940,,
2018,27026922,,
2018,06695205,,
2018,71339485,,
2018,70869553,,
2018,05081068,,
2018,00409171,organizační práce v území,89.0
2018,00409171,organizační práce v ústředí,14.0
2018,00409171,tiskový mluvčí,1.0
2018,00409171,ústřední tajemník,1.0
2018,00409171,ekonomický ředitel,1.0
2018,00409171,THP práce,8.0
2018,00409171,poradce,1.0
2018,00409171,archivář,2.0
2018,00409171,účetní,4.0
2018,03116603,,
2018,03217116,,
2018,07118317,Promotér,1.0
2018,03221199,,
2018,71339752,administrativní činnost,3.0
2018,26673908,Administrativní práce,1.0
2018,71443444,,
2018,71340009,,
2018,71339612,,
2018,03251501,,
2018,26582406,,
2018,03143848,,
2018,71339728,generální sekretář,1.0
2018,71339728,tiskový mluvčí,1.0
2018,71339728,asistent,3.0
2018,71339728,koordinátor,1.0
2018,02749947,,
2018,02790840,,
2018,06335233,,
2018,68954263,,
2018,71443355,,
2018,07301600,dohoda o provedení práce,6.0
2018,64933911,,
2018,71339817,,
2018,68210396,,
2018,27040097,,
2018,03247686,,
2018,00409740,tajemnice,1.0
2018,68684011,,
2018,71443363,řízení hnutí,1.0
2018,04756291,,
2018,71443401,,
2018,07202059,,
2018,03136922,,
2019,05402450,,
2019,04627695,,
2019,71443339,krajský manažer-průměrný přepočtený stav 2019,14.0
2019,71443339,PR specialista - průměrný přepočtený stav 2019,2.0
2019,71443339,asistent - průměrný přepočtený stav 2019,3.0
2019,71443339,specialista vniřní legislativy - průměrný přepočtený stav 2019,1.0
2019,71443339,specialista pro regiony - průměrný přepočtený stav 2019,1.0
2019,71443274,,
2019,07289731,,
2019,05989175,,
2019,26587840,,
2019,07204752,,
2019,05103487,,
2019,05754577,DPČ administrativa 1-5/2019,1.0
2019,71443428,,
2019,07290853,,
2019,03094553,,
2019,00442721,,
2019,71443207,,
2019,71443240,,
2019,07972733,,
2019,07307977,,
2019,05391628,,
2019,03168786,,
2019,03204723,,
2019,02674831,,
2019,07921331,,
2019,71443185,,
2019,68321457,,
2019,03174531,,
2019,27039145,,
2019,26600218,,
2019,07991070,,
2019,71443312,,
2019,02733552,,
2019,04889321,,
2019,71339965,,
2019,00442704,Generální sekretář,1.0
2019,00442704,Asistent,2.0
2019,00442704,Tiskový mluvčí,1.0
2019,00442704,Mediální asistent,1.0
2019,00442704,Zahraniční tajemník,1.0
2019,00442704,Personalista a účetní,3.0
2019,00442704,Informatik,2.0
2019,00442704,Analytik,1.0
2019,00442704,Technická správa,8.0
2019,00442704,Krajský tajemník a organizační pracovník,18.0
2019,07196989,,
2019,27034321,,
2019,15271960,,
2019,71339973,,
2019,00496936,politický pracovník/poracovnice,123.0
2019,00496936,odborný pracovník/pracovnice,74.0
2019,00496936,hospodářský pracovník/pracovnice,50.0
2019,03152952,,
2019,71339582,,
2019,71443606,,
2019,49628089,,
2019,60456400,,
2019,07157029,,
2019,68455941,,
2019,03254747,,
2019,44266740,Generální sekretář,1.0
2019,07027761,,
2019,07286210,,
2019,07312946,,
2019,71443452,,
2019,69345473,,
2019,60458399,Administrativní činnost (dohoda o provedení práce),1.0
2019,71339779,,
2019,27034500,,
2019,71443649,,
2019,27053024,,
2019,03219208,,
2019,71443584,,
2019,03174697,,
2019,03016242,,
2019,26668980,,
2019,16192656,Analytické a PR práce,15.0
2019,16192656,Účetní a ekonomické práce,10.0
2019,16192656,Administrativní práce,6.0
2019,16192656,Technické a provozní práce,10.0
2019,16192656,Vedoucí zaměstnanci,7.0
2019,06860176,,
2019,03099598,,
2019,71443517,,
2019,03221083,administrativní činnost,1.0
2019,71443215,administrativní práce,1.0
2019,71443410,,
2019,71443681,,
2019,03080935,,
2019,71339698,Administrativa,17.0
2019,71339698,Úklid,2.0
2019,03170624,,
2019,71443550,,
2019,02885573,,
2019,07283652,,
2019,04756339,,
2019,03204669,administrativa,1.0
2019,71339809,,
2019,27038131,,
2019,03091805,,
2019,03254763,,
2019,71443380,,
2019,26595940,,
2019,27026922,,
2019,06695205,,
2019,71339485,,
2019,07218443,,
2019,71339990,,
2019,70869553,,
2019,05081068,,
2019,00409171,Organizační práce v území,53.0
2019,00409171,Organizační práce v ústředí,11.0
2019,00409171,Tisková mluvčí,1.0
2019,00409171,THP práce,7.0
2019,00409171,Poradce,1.0
2019,00409171,Archivář,2.0
2019,00409171,Účetní,3.0
2019,00409171,Ústřední tajemník,1.0
2019,03116603,,
2019,71339655,,
2019,03217116,,
2019,07118317,administrativa,1.0
2019,03221199,,
2019,71339752,administrativní činnost,3.0
2019,71339922,,
2019,26673908,Administrativní práce - zaokrouhlené přepočtené úvazky 2019,1.0
2019,71443444,,
2019,71340009,,
2019,71339612,,
2019,03251501,,
2019,26582406,,
2019,12345678,,
2019,03143848,,
2019,71339728,generální sekretář,1.0
2019,71339728,tiskový mluvčí,1.0
2019,71339728,asistent,2.0
2019,71339728,pomocník v kampani,8.0
2019,02749947,,
2019,08288909,Administrativní činnosti,1.0
2019,07986858,,
2019,02790840,,
2019,06335233,,
2019,68954263,,
2019,07195389,,
2019,71443355,Plnění úkolů spojených s činností tajemníka polit.hnutí Východočeši,1.0
2019,07301600,dohoda o provedení práce,4.0
2019,71339892,,
2019,04616421,,
2019,71339817,,
2019,68210396,,
2019,27040097,,
2019,04997808,,
2019,03247686,,
2019,71340084,,
2019,00409740,tajemnice,1.0
2019,68684011,,
2019,07156871,,
2019,71443363,řízení hnutí,1.0
2019,04756291,,
2019,71339850,dobrovolnická práce,1.0
2019,07202059,,
2019,03136922,,
2020,05402450,,
2020,04627695,,
2020,09227041,"úpravy na webu, facabooku",1.0
2020,71443274,,
2020,07289731,,
2020,05989175,,
2020,06048099,vedení účetnictví,1.0
2020,26587840,,
2020,07204752,,
2020,05103487,,
2020,09182004,,
2020,05754577,,
2020,71443428,,
2020,07290853,,
2020,03094553,,
2020,00442721,,
2020,27015904,,
2020,71443207,,
2020,71443240,,
2020,07972733,,
2020,07307977,,
2020,04997841,,
2020,05391628,,
2020,03168786,,
2020,03204723,,
2020,02674831,,
2020,07921331,,
2020,71443185,,
2020,68321457,,
2020,03174531,,
2020,27039145,,
2020,09233229,,
2020,26600218,,
2020,71443312,DPP - IT služby,1.0
2020,02733552,,
2020,04889321,,
2020,71339965,,
2020,00442704,Generální sekretář,1.0
2020,00442704,Asistent,2.0
2020,00442704,Tiskový mluvčí,1.0
2020,00442704,Mediální asistent,1.0
2020,00442704,Zahraniční tajemník,1.0
2020,00442704,Personalista a účetní,4.0
2020,00442704,Informatik,2.0
2020,00442704,Analytik,1.0
2020,00442704,Technická správa,8.0
2020,00442704,Krajský tajemník a organizační pracovník,17.0
2020,00442704,Koordinátor tiskového úseku,1.0
2020,00442704,Volební manager,1.0
2020,07196989,,
2020,27034321,,
2020,15271960,,
2020,71339973,,
2020,00496936,politický pracovník/pracovnice,124.0
2020,00496936,odborný pracovník/pracovnice,75.0
2020,00496936,hospodářsdký pracovník/pracovnice,49.0
2020,03152952,,
2020,71339582,,
2020,71443606,"Dohoda o provedení práce, administrativa",1.0
2020,49628089,,
2020,60456400,,
2020,07157029,,
2020,68455941,,
2020,26598647,,
2020,03254747,,
2020,44266740,Generální sekretář,1.0
2020,60556625,,
2020,09301020,,
2020,07027761,,
2020,07286210,,
2020,07312946,,
2020,71443452,,
2020,09340718,,
2020,60458399,,
2020,71339779,,
2020,27034500,,
2020,71443649,,
2020,27053024,,
2020,71443584,,
2020,03174697,,
2020,03016242,,
2020,26668980,,
2020,16192656,Analytické a PR práce,16.0
2020,16192656,Účetní a ekonomické práce,10.0
2020,16192656,Administrativní práce,6.0
2020,16192656,Technické a provozní práce,10.0
2020,16192656,Vedoucí zaměstnanci,7.0
2020,06860176,,
2020,03099598,,
2020,71443517,,
2020,03221083,administrativní činnost,1.0
2020,71443215,administrativní práce,1.0
2020,09363149,,
2020,71443681,,
2020,03080935,,
2020,71339698,Mediální služby,9.0
2020,71339698,Úklid,3.0
2020,71339698,Zdravotník,2.0
2020,71339698,Administrativní práce,12.0
2020,71339698,Mediace,1.0
2020,71339698,Expertizy a analýzy,3.0
2020,03170624,,
2020,08960909,,
2020,71443550,,
2020,02885573,,
2020,07283652,,
2020,04756339,,
2020,03204669,administrativní činnost,1.0
2020,71339809,,
2020,27038131,,
2020,03091805,,
2020,03254763,,
2020,71443380,,
2020,26595940,,
2020,27026922,,
2020,06695205,,
2020,71443347,,
2020,71339485,,
2020,71339990,,
2020,70869553,,
2020,05081068,,
2020,00409171,Organizační práce v území,41.0
2020,00409171,Organizační práce v ústředí,8.0
2020,00409171,Tisková mluvčí,1.0
2020,00409171,THP práce,10.0
2020,00409171,Poradce,1.0
2020,00409171,Účetní,3.0
2020,00409171,Ústřední tajemník,1.0
2020,00409171,Archivář,1.0
2020,03116603,,
2020,71339655,,
2020,03217116,,
2020,07118317,,
2020,03221199,,
2020,71339752,Administrativa,1.0
2020,71339922,,
2020,26673908,Administrativní práce - přepočteno na FTE a zaokrouhleno,1.0
2020,71443444,,
2020,71340009,,
2020,71339612,administrativní práce,1.0
2020,03251501,,
2020,71443177,,
2020,26582406,,
2020,03143848,,
2020,71339728,generální sekretář,1.0
2020,71339728,tiskový mluvčí,1.0
2020,71339728,asistent,2.0
2020,71339728,analytik,1.0
2020,02749947,,
2020,08288909,Administraivní práce,6.0
2020,07986858,,
2020,02790840,,
2020,68954263,,
2020,07195389,,
2020,71443355,Činnost tajemníka polit.hnutí Východočeši,1.0
2020,07301600,DPP,2.0
2020,71339892,,
2020,04616421,,
2020,71339817,,
2020,68210396,,
2020,27040097,,
2020,07324758,,
2020,04997808,,
2020,03247686,,
2020,08773297,,
2020,71340084,,
2020,00409740,,
2020,68684011,,
2020,07156871,,
2020,71443363,provozní agenda hnutí,1.0
2020,71443401,,
2020,71339850,,
2020,07202059,,
2020,03136922,,
2021,05402450,,
2021,04627695,,
2021,71443274,,
2021,07289731,,
2021,05989175,,
2021,26587840,,
2021,07204752,,
2021,05103487,,
2021,09182004,Koordinace administrace a komunikace,1.0
2021,03094553,,
2021,00442721,,
2021,27015904,,
2021,71443207,,
2021,71443240,,
2021,07972733,,
2021,09977023,,
2021,04997841,,
2021,05391628,,
2021,10954899,Administrativní pracovník,1.0
2021,03168786,,
2021,03204723,,
2021,07921331,,
2021,71443185,,
2021,68321457,,
2021,03174531,,
2021,27039145,,
2021,09233229,,
2021,26600218,,
2021,71443312,,
2021,02733552,,
2021,04889321,,
2021,71339965,,
2021,07196989,,
2021,27034321,,
2021,15271960,,
2021,71339973,,
2021,00496936,politický pracovník/pracovnice,118.0
2021,00496936,odborný pracovník/pracovnice,66.0
2021,00496936,hospodářský pracovník/pracovnice,46.0
2021,03152952,,
2021,71339582,,
2021,49628089,,
2021,60456400,,
2021,07157029,,
2021,26598647,,
2021,03254747,,
2021,44266740,generální sekretář,1.0
2021,60556625,,
2021,07027761,,
2021,07286210,,
2021,07312946,,
2021,71443452,,
2021,09340718,,
2021,60458399,,
2021,71339779,,
2021,27034500,,
2021,71443649,,
2021,27053024,,
2021,71443584,,
2021,03174697,,
2021,03016242,,
2021,26668980,,
2021,16192656,Analytické a PR práce,18.0
2021,16192656,Účetní a ekonomické práce,10.0
2021,16192656,Administrativní práce,6.0
2021,16192656,Technické a provozní práce,10.0
2021,16192656,Vedoucí zaměstnanci,8.0
2021,06860176,,
2021,03099598,,
2021,71443517,,
2021,03221083,administrativní činnost,1.0
2021,71443215,administrativní práce,1.0
2021,09363149,,
2021,71443681,,
2021,03080935,,
2021,71339698,Mediální služby,11.0
2021,71339698,Úklid,3.0
2021,71339698,BOZP expert,1.0
2021,71339698,Administrativní práce,5.0
2021,71339698,Řidič autobusu,1.0
2021,71339698,Expertizy a analýzy,4.0
2021,03170624,,
2021,08960909,,
2021,71443550,,
2021,02885573,,
2021,03204669,administrativní,1.0
2021,10742409,"Marketingový specialista, grafik, fotograf a kameraman",1.0
2021,10742409,Administrativní pracovník,1.0
2021,10742409,Hlavní pokladník a nákupčí,1.0
2021,10742409,Specialista sociálních sítí,1.0
2021,10742409,Manažer,1.0
2021,27038131,,
2021,03091805,,
2021,03254763,,
2021,71443380,,
2021,26595940,,
2021,27026922,,
2021,06695205,,
2021,71443347,,
