date_year,party_key,bod_key,amount
2017-01-01,5402450,P_1,29817550.85
2017-01-01,5402450,P_2,0.0
2017-01-01,5402450,P_3,0.0
2017-01-01,5402450,P_4,32400.0
2017-01-01,5402450,P_5,10195000.01
2017-01-01,5402450,P_6,0.0
2017-01-01,5402450,P_7,326.93
2017-01-01,5402450,P_8,0.0
2017-01-01,5402450,P_9,0.0
2017-01-01,5402450,P_10,19589823.91
2017-01-01,5402450,P_11,0.0
2017-01-01,4627695,P_1,0.0
2017-01-01,4627695,P_2,0.0
2017-01-01,4627695,P_3,0.0
2017-01-01,4627695,P_4,0.0
2017-01-01,4627695,P_5,0.0
2017-01-01,4627695,P_6,0.0
2017-01-01,4627695,P_7,0.0
2017-01-01,4627695,P_8,0.0
2017-01-01,4627695,P_9,0.0
2017-01-01,4627695,P_10,0.0
2017-01-01,4627695,P_11,0.0
2017-01-01,71443339,P_1,301589229.01
2017-01-01,71443339,P_2,150011300.0
2017-01-01,71443339,P_3,113675000.0
2017-01-01,71443339,P_4,3950671.58
2017-01-01,71443339,P_5,33952246.35
2017-01-01,71443339,P_6,0.0
2017-01-01,71443339,P_7,11.08
2017-01-01,71443339,P_8,0.0
2017-01-01,71443339,P_9,0.0
2017-01-01,71443339,P_10,0.0
2017-01-01,71443339,P_11,0.0
2017-01-01,71443274,P_1,48000.0
2017-01-01,71443274,P_2,0.0
2017-01-01,71443274,P_3,0.0
2017-01-01,71443274,P_4,3000.0
2017-01-01,71443274,P_5,45000.0
2017-01-01,71443274,P_6,0.0
2017-01-01,71443274,P_7,0.0
2017-01-01,71443274,P_8,0.0
2017-01-01,71443274,P_9,0.0
2017-01-01,71443274,P_10,0.0
2017-01-01,71443274,P_11,0.0
2017-01-01,27038050,P_1,4000.0
2017-01-01,27038050,P_2,0.0
2017-01-01,27038050,P_3,0.0
2017-01-01,27038050,P_4,4000.0
2017-01-01,27038050,P_5,0.0
2017-01-01,27038050,P_6,0.0
2017-01-01,27038050,P_7,0.0
2017-01-01,27038050,P_8,0.0
2017-01-01,27038050,P_9,0.0
2017-01-01,27038050,P_10,0.0
2017-01-01,27038050,P_11,0.0
2017-01-01,5989175,P_1,9571295.0
2017-01-01,5989175,P_2,0.0
2017-01-01,5989175,P_3,0.0
2017-01-01,5989175,P_4,0.0
2017-01-01,5989175,P_5,9571295.0
2017-01-01,5989175,P_6,0.0
2017-01-01,5989175,P_7,0.0
2017-01-01,5989175,P_8,0.0
2017-01-01,5989175,P_9,0.0
2017-01-01,5989175,P_10,0.0
2017-01-01,5989175,P_11,0.0
2017-01-01,6048099,P_1,128600.0
2017-01-01,6048099,P_2,0.0
2017-01-01,6048099,P_3,0.0
2017-01-01,6048099,P_4,6100.0
2017-01-01,6048099,P_5,122500.0
2017-01-01,6048099,P_6,0.0
2017-01-01,6048099,P_7,0.0
2017-01-01,6048099,P_8,0.0
2017-01-01,6048099,P_9,0.0
2017-01-01,6048099,P_10,0.0
2017-01-01,6048099,P_11,0.0
2017-01-01,26587840,P_1,4005.0
2017-01-01,26587840,P_2,0.0
2017-01-01,26587840,P_3,0.0
2017-01-01,26587840,P_4,5.0
2017-01-01,26587840,P_5,4000.0
2017-01-01,26587840,P_6,0.0
2017-01-01,26587840,P_7,0.0
2017-01-01,26587840,P_8,0.0
2017-01-01,26587840,P_9,0.0
2017-01-01,26587840,P_10,0.0
2017-01-01,26587840,P_11,0.0
2017-01-01,5754577,P_1,605358.0
2017-01-01,5754577,P_2,0.0
2017-01-01,5754577,P_3,0.0
2017-01-01,5754577,P_4,188700.0
2017-01-01,5754577,P_5,416658.0
2017-01-01,5754577,P_6,0.0
2017-01-01,5754577,P_7,0.0
2017-01-01,5754577,P_8,0.0
2017-01-01,5754577,P_9,0.0
2017-01-01,5754577,P_10,0.0
2017-01-01,5754577,P_11,0.0
2017-01-01,71443428,P_1,29001.92
2017-01-01,71443428,P_2,0.0
2017-01-01,71443428,P_3,0.0
2017-01-01,71443428,P_4,9000.0
2017-01-01,71443428,P_5,20000.0
2017-01-01,71443428,P_6,0.0
2017-01-01,71443428,P_7,1.92
2017-01-01,71443428,P_8,0.0
2017-01-01,71443428,P_9,0.0
2017-01-01,71443428,P_10,0.0
2017-01-01,71443428,P_11,0.0
2017-01-01,3094553,P_1,2500.0
2017-01-01,3094553,P_2,0.0
2017-01-01,3094553,P_3,0.0
2017-01-01,3094553,P_4,2500.0
2017-01-01,3094553,P_5,0.0
2017-01-01,3094553,P_6,0.0
2017-01-01,3094553,P_7,0.0
2017-01-01,3094553,P_8,0.0
2017-01-01,3094553,P_9,0.0
2017-01-01,3094553,P_10,0.0
2017-01-01,3094553,P_11,0.0
2017-01-01,4690753,P_1,27000.0
2017-01-01,4690753,P_2,0.0
2017-01-01,4690753,P_3,0.0
2017-01-01,4690753,P_4,0.0
2017-01-01,4690753,P_5,27000.0
2017-01-01,4690753,P_6,0.0
2017-01-01,4690753,P_7,0.0
2017-01-01,4690753,P_8,0.0
2017-01-01,4690753,P_9,0.0
2017-01-01,4690753,P_10,0.0
2017-01-01,4690753,P_11,0.0
2017-01-01,442721,P_1,393061.64
2017-01-01,442721,P_2,0.0
2017-01-01,442721,P_3,0.0
2017-01-01,442721,P_4,12300.0
2017-01-01,442721,P_5,380761.64
2017-01-01,442721,P_6,0.0
2017-01-01,442721,P_7,0.0
2017-01-01,442721,P_8,0.0
2017-01-01,442721,P_9,0.0
2017-01-01,442721,P_10,0.0
2017-01-01,442721,P_11,0.0
2017-01-01,27015904,P_1,5000.0
2017-01-01,27015904,P_2,0.0
2017-01-01,27015904,P_3,0.0
2017-01-01,27015904,P_4,5000.0
2017-01-01,27015904,P_5,0.0
2017-01-01,27015904,P_6,0.0
2017-01-01,27015904,P_7,0.0
2017-01-01,27015904,P_8,0.0
2017-01-01,27015904,P_9,0.0
2017-01-01,27015904,P_10,0.0
2017-01-01,27015904,P_11,0.0
2017-01-01,71443207,P_1,0.0
2017-01-01,71443207,P_2,0.0
2017-01-01,71443207,P_3,0.0
2017-01-01,71443207,P_4,0.0
2017-01-01,71443207,P_5,0.0
2017-01-01,71443207,P_6,0.0
2017-01-01,71443207,P_7,0.0
2017-01-01,71443207,P_8,0.0
2017-01-01,71443207,P_9,0.0
2017-01-01,71443207,P_10,0.0
2017-01-01,71443207,P_11,0.0
2017-01-01,71339442,P_1,24.0
2017-01-01,71339442,P_2,0.0
2017-01-01,71339442,P_3,0.0
2017-01-01,71339442,P_4,0.0
2017-01-01,71339442,P_5,0.0
2017-01-01,71339442,P_6,0.0
2017-01-01,71339442,P_7,24.0
2017-01-01,71339442,P_8,0.0
2017-01-01,71339442,P_9,0.0
2017-01-01,71339442,P_10,0.0
2017-01-01,71339442,P_11,0.0
2017-01-01,26650797,P_1,620356.0
2017-01-01,26650797,P_2,0.0
2017-01-01,26650797,P_3,0.0
2017-01-01,26650797,P_4,126150.0
2017-01-01,26650797,P_5,392254.0
2017-01-01,26650797,P_6,101950.0
2017-01-01,26650797,P_7,2.0
2017-01-01,26650797,P_8,0.0
2017-01-01,26650797,P_9,0.0
2017-01-01,26650797,P_10,0.0
2017-01-01,26650797,P_11,0.0
2017-01-01,5391628,P_1,75000.0
2017-01-01,5391628,P_2,0.0
2017-01-01,5391628,P_3,0.0
2017-01-01,5391628,P_4,75000.0
2017-01-01,5391628,P_5,0.0
2017-01-01,5391628,P_6,0.0
2017-01-01,5391628,P_7,0.0
2017-01-01,5391628,P_8,0.0
2017-01-01,5391628,P_9,0.0
2017-01-01,5391628,P_10,0.0
2017-01-01,5391628,P_11,0.0
2017-01-01,3168786,P_1,11950.0
2017-01-01,3168786,P_2,0.0
2017-01-01,3168786,P_3,0.0
2017-01-01,3168786,P_4,1950.0
2017-01-01,3168786,P_5,10000.0
2017-01-01,3168786,P_6,0.0
2017-01-01,3168786,P_7,0.0
